section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Mercedes-Benz,Help for buying a car,post-1021510,"Apr 22, 2021",Giannis,"It's not only the engine you should check. It's also the condition of the suspension parts (ie. bushings, shock absorbers, etc) which could cost quite much if there's a need to be replaced. A well serviced car should not require much attention.,Its condition does look mint for a 200k km car, that has to be said!",#6,,,Greece,NA,Civil Engineer,"17,607","13,475","'05 Volvo S60 2.0T,'02 BMW 520i (E39),'90 Renault Clio 1.4 RT","A fan of old school lift-off oversteer french hatchbacks, proper steering feedback and manual gearboxes. A proponent of turbocharging, when done right. A german cars enthusiast that waits for the economy to resurrect and fill his garage with a few 911s, a 5er and a proper Benz.",Staff member
Mercedes-Benz,First listening test of the holistic sound production: Electric mobility turns into an acoustic experience,post-996911,"Oct 13, 2020",bialkov,"No V8 rumble, no diesel knock, no turbo slurp – electric cars are quiet by nature. Nonetheless, driving in future Mercedes-Benz EQ model generations will optionally become a multi-sensory experience: the sound experts of Mercedes-Benz are working on making the paradigm shift from combustion model to electric car audible as well.,The listening test in a demo EQC shows what developments they are currently working on: different soundscapes enable an individual acoustic set-up here. The soundscapes can be selected and also switched off via a menu in MBUX on the central display. Over-the-air updates are conceivable in future.,Also part of the particular soundscape is the driving sound, which is reproduced by the speakers in the interior. It awakens emotions and inspires. At the same time the driving sound is interactive, as it responds to a good dozen parameters such as the accelerator position, speed or recuperation. Selection of the drive program likewise influences the driving sound, for example, the sounds become more dynamic in SPORT mode. The technology uses intelligent sound design algorithms to calculate the sounds coming from the amplifier of the Burmester® surround sound system in real time and the loudspeakers to reproduce them.,The holistic sound concept also includes sounds that give the driver feedback – for example, when the car is unlocked, when it can be started or even as a farewell. Connecting the charging plug also is accompanied by acoustic feedback that is intuitive to understand, this time outside the vehicle. For example, the driver can be given an acoustic signal that the charging procedure was successful, and indicating the charge state of the battery.,To reproduce this feedback outside the vehicle, Mercedes-Benz uses the loudspeakers of the Acoustic Vehicle Alert System (AVAS) in the bumpers. This system is mandatory for new electric cars type-approved (homologised) since 1 July 2019. In Europe AVAS must be operational up to a speed of 20 km/h. When driving slowly, it generates an external sound so that pedestrians are aware of the electric car's approach.,The algorithms and sounds for the sound design are created in-house at Mercedes-Benz. In addition to physicists, the interdisciplinary team also includes sound designers, media designers and mechatronics specialists. They work on the emotionalising sound of future Mercedes-Benz EQ models in an acoustic laboratory which is shielded from external noises and vibrations. And they conduct listening tests during test drives of interactive demo vehicles, including at the new Immendingen Test and Technology Centre (TTC).,To achieve a really empathetic relationship between the interaction of the driver and the sound feedback, their work is not just based on musical compositions and harmonies, but also on varying the vibrancy of the soundscape with numerous sound dimensions. This elevates the sound design to a holistic multi-sensory experience that interacts with the whole vehicle. This experience is the contrast between comfortably quiet and precise feedback with emotionally appealing design.,Here are some facts and figures:,[1] The power consumption was determined on the basis of Directive 692/2008/EC. The power consumption is dependent upon the vehicle configuration. Further information on the official fuel consumption and the official specific CO2 emissions of new passenger cars can be found in the ""Leitfaden über den Kraftstoffverbrauch, die CO2-Emissionen und den Stromverbrauch neuer Personenkraftwagen"" [Guide to fuel consumption, CO₂ emissions and power consumption of new passenger cars], which is available free of charge at all sales outlets and from Deutsche Automobil Treuhand GmbH at,.",#1,,,Bulgaria,Male,NA,"1,079","2,144","2011 Jaguar XF; 2009 BMW X5 3.0i;,2005 Jaguar X Type 2.0 D; 2002 Jaguar S Type 3.0i; 2000 Citroen Xsara Picasso 1.8i; 2002 BMW X5 3.0i;,Mercedes S650 Maybach",,Supporter
Jaguar / Land Rover,"Jaguar goes high-luxe with $155,000 XJ Ultimate",post-577196,"May 3, 2012",Mr Robert,Same price as for the standard car ;-),#8,,,Sweden,Male,Lawyer,"10,963","4,339","2010 BMW E91 320d,2012 Mercedes 220d C-class,2010 320d M,2002 320i M-Sport,2009 MINI Cooper S,1989 Mazda 323 1,6 DL,1987 VW Polo 1,6 CL",Edmunds - Insideline  We love a giant killer because it makes great headlines and there's always pressure to deliver an upset.  And I'm CURIOUS,NA
Jaguar / Land Rover,"Jaguar XKR 75 / Speed/Black Pack - First Drives (Autoexpress, CarEnthusiast, …)",post-469593,"Jul 2, 2010",ree,"[image no longer available],It’s Jaguar’s 75th birthday, and a few lucky owners will get a special present: a limited-edition,R complete with more power and the sportiest chassis yet.,The XKR 75 makes its debut at this weekend’s Goodwood Festival of Speed. Production is restricted to 75 examples, and even from a distance, it looks as if it means business.,The 75 sits lower than a regular XKR, on stiffer suspension, but appears even more ground-hugging, thanks to its bodykit. This adds a lower front splitter, sill extensions, a neat tail spoiler and 20-inch diamond-cut alloys. All the shiny chrome is black, and the Stratus Grey paint can be adorned with the silver graphics on our car’s wings as an option.,Fire it up, and the newcomer sounds as good as it looks. The supercharged 5.0-litre V8 now produces 523bhp – up by 20bhp – and comes with a new exhaust that adds a wicked, rasping edge to the deep-chested V8. Inside, the XKR 75 gets a combination of piano black trim, dark leather and a midnight black headlining.,As soon as you pull away, you can sense this XK’s steely demeanour. Around town, the suspension relays more detail of the road surface, and the steering has more weight, too. Yet the Jag is as cosseting as ever; the suspension is compliant and the six-speed automatic gearbox is smooth and responsive.,Performance is huge, the V8 delivering a mighty push from modest revs and sustaining it to the red line. It also produces a delicious exhaust crackle when you back off. Low-speed traction is strong, helped by Jaguar’s clever electronically controlled limited slip differential, and the 4.4-second 0-60mph time is quicker than the stock XKR’s.,The top speed is limited to 174mph, as it is on the Speed Pack model. With the traction control turned off, the tail will kick wide, but it’s pretty easy to catch.,At higher speeds, though, the XKR 75 feels planted, with the precision and directness of its steering and the tautness of the suspension inspiring confidence. This slack-free feel is down to some unique suspension components which give enhanced wheel control under pressure.,Not surprisingly, the XKR 75 has posted an impressive lap time at Germany’s legendary Nürburgring circuit; 8m 01 seconds with a little traffic, so sub-eight minutes is feasible. It’s a fitting birthday celebration.",#1,,NA,NA,NA,NA,"11,139","11,209","VW Golf V Variant TDI Bluemotion Sportline,Range Rover TDV8, Bentley Azure T, Bentley Mulsanne, Aston Martin DBS Volante","""Nothing will make a driver more faithful to a car, than a car that is faithful to its driver.""",NA
Mercedes-Benz,***Classic Mercedes-Benz Car Show Schwabmühlhausen 2019***,post-941521,"Aug 6, 2019",cawimmer430,"All photos can be seen in the link below. Enjoy.,FULL ALBUM: Wimmer Fotografie,Some of the more interesting cars on display were...,My favorite car at the show was this 220S! Why? Because of the three 1950s-1960s era dolls in the background. I saw this car pull into the show grounds and assume that this was a family with three beautiful young daughters. As I approached the car I saw that the ""daughters"" were dolls. They are wearing period correct clothing and hairstyles. They are dressed in their ""Sunday best"" clothing and this is pretty much how a well-to-do German family of the post-war era would have driven around on a weekend.,Another highlight was this! The oldest car at the show with an interesting history. This is a,which was first delivered to a customer in Argentina. It returned to Europe sometime in the late 1960s with a Swiss businessman and then ended up abandoned for a few years. The current owner bought it and had it restored. Lovely car.,Mercedes Benz Schwabmühlhausen Vintage (245) — Postimage.org",#1,,"Jul 31, 1982
										
											(Age: 40)","Munich, Germany",NA,"Photographer, Graphic Designer","14,816","13,252","'07 BMW 118i,1936 Mercedes-Benz 500K Spezial Roadster","Mercedes-Benz, Photoshop (Digital Imaging), Reading, Dogs, Athletics, Sleeping, Drawing &amp; Eating!!!,CHRISTIAN WIMMER,WIMMERFOTOGRAFIE.de | www.facebook.com/wimmerfotografie | IG: wimmerfotografie",NA
Jaguar / Land Rover,Motor Trend - First Drive: 2009 Jaguar XFR,post-366758,"Feb 20, 2009",Merc1,"You know you're suffering from hp-war battle fatigue when your first reaction to the news the Jaguar XFR's all-new, supercharged 5.0L direct-injection V-8 develops 510 hp is a faintly disappointed ""Oh..."" It might outgun the 500-hp BMW M5 and the 507-hp Mercedes-Benz E63 AMG, but it comes up short against Cadillac's mighty 556-hp CTS-V and Audi's head-banging 572-hp RS6. We're here to tell you, however, that sheer horsepower ain't everything. Just point the new XFR at your favorite stretch of gnarly two-lane, nail the gas, and you'll soon see what we mean.,The XFR is, of course, the new flagship car in an upgraded and expanded XF range for the 2010 model year. By now you will have noticed the entirely predictable exterior mods: a new front bumper fascia with large air intakes, deeper sills, a vented hood, new 20-in. alloy wheels, and quad tailpipes. Inside, the XFR retains the XF's cool and charismatic interior design, though Dark Oak veneer is the standard wood trim, complementing a unique dark mesh-aluminum dash panel. The XFR's front seats feature electrically adjustable bolsters for greater side support.,The big news is all under the skin: suspension tweaks that include magneto-rheological shocks, bigger brakes, an active differential, and the supercharged version of the all-new AJ-V8 Gen III engine.,Full Story:,M",#1,,,"Frisco, TX, USA",Male,NA,"36,999","32,718","2013 BMW 650i,2010 Lexus IS250,1999 MB S500,1987 Nissan Maxima, 1993 Ford Probe GT, 1997 Mitsubishi Spyder GST, 2003 CLK430 Cabriolet.","Automobiles/Music,Garage: 2013 650i Coupe w/M-Packet, 2010 Lexus IS250 AWD, 1999 Mercedes-Benz S500.",Premium Supporter
Motorsports,2011 Spanish GP,post-518223,"May 24, 2011",Remy Zero,"No doubt this year has tonnes of passing, someone has to stop Vettel and RedBull.",#15,,,Malaysia,NA,HR Analyst,"3,087","4,369",,"Lifting weights,Never, Never, Never Give up...",NA
Jaguar / Land Rover,Spy Shots: 2009 Range Rover Sport gets a nose job,post-277414,"Feb 16, 2008",Bartek S.,"The 2009 Range Rover Sport looks like it's getting a slightly revised face. After undergoing minor cosmetic surgery, the Sport comes out with grillework that's reminiscent of the Land Rover LR2's as well as a new front bumper. Out back and along the sides, the SUV seems to be unchanged compared to the,current model. One of Brenda Priddy's clandestine operatives snagged the freshened Ranger Rover Sport frolicking undisguised somewhere in Europe where it looks cold and snowy. As for when it'll be shown to the public, who knows? Geneva's just around the corner, though, so we'll have our gang keep an eye out for it when they're not eyeballing Renaults or noshing on good chocolate and tasty Lake Geneva perch filets.",#1,,,"Montreal, Canada",Male,Veterinarian,"8,433","8,864","2019 M640 GT, 2020 440ix cabrio, 2019 Ford 250, e-Golf,2008 M5,Mercedes ONE, Taycan turbo S","Married, 4 kids,,Motorsport, horses,M -No more the most powerful letter in the world",NA
Motorsports,Joy is Racing - M3 GT at Sebring,post-449192,"Mar 11, 2010",HighestOfHigh,-,#2,,September 11,DC,Male,NA,"9,364","5,052",Mercedes-Benz S65 AMG,HighestOfHigh,NA
Jaguar / Land Rover,Jaguar launches special edition XKR Portfolio,post-160034,"Mar 6, 2007",Deutsch,Has interest dropped off on the new XK already??? Because I can't see any other reason for the point of this cars existence???,#2,,,L.A.,NA,F1pilot,"6,521","1,194",,,NA
