section_name,thread_title,post_ID,post_date,post_username,post_text,post_order,replier_post_ID,user_birthday,user_location,user_gender,user_occupation,user_messages_count,user_reaction_score,user_car,user_about,user_member_type
Pagani,Pagani Zonda S,post-727128,"Dec 26, 2014",Wolfgang,"Here you can see the Pagani Zonda S powered by a Mercedes-AMG M120 V12 engine 7.0L 550HP and 750Nm of Torque. Handcrafted by Michael Kübler,in Germany Affalterbach.",#3,,NA,NA,NA,NA,"10,738","17,360",,The Star always shines from above.,NA
Pagani,Goldarths Review Of Zonda F CS,post-106456,"Oct 26, 2006",dOmInIX,"Thanks, great pics on that site!",#7,,,Croatia,NA,NA,"3,310","1,045",,,NA
Motorsports,24 Hours of Le Mans 2017,post-841357,"Jun 19, 2017",Toldi911,"Hi all,,some impressions of the 24 Hours of Le Mans 2017:,Check my channel for more videos:",#1,,NA,NA,NA,NA,350,373,,www.youtube.com/user/DrGumoLunatic www.autobahnspeedhunter.com,NA
Toyota,Frankfurt Preview: More on Toyota's new lithium-ion Plug-in Prius,post-410683,"Sep 10, 2009",HighestOfHigh,-,#1,,September 11,DC,Male,NA,"9,364","5,052",Mercedes-Benz S65 AMG,HighestOfHigh,NA
Ford / Lincoln,Detroit 2010: Lincoln MKX,post-436030,"Jan 12, 2010",Merc1,"I actually like it.  Ford is starting to do some wonderful things under the hoods of their cars too.  Maybe this thing will sell a bit better now.,M",#3,,,"Frisco, TX, USA",Male,NA,"36,999","32,721","2013 BMW 650i,2010 Lexus IS250,1999 MB S500,1987 Nissan Maxima, 1993 Ford Probe GT, 1997 Mitsubishi Spyder GST, 2003 CLK430 Cabriolet.","Automobiles/Music,Garage: 2013 650i Coupe w/M-Packet, 2010 Lexus IS250 AWD, 1999 Mercedes-Benz S500.",Premium Supporter
Ford / Lincoln,Follow-Up Test: 2008 Ford Shelby GT500KR,post-322926,"Aug 14, 2008",Tarek,I hate the interior.,#2,,,Cairo.,NA,Dentist,"9,862","2,291",Italian.,,NA
Ford / Lincoln,First official images for production Ford Focus RS,post-351394,"Dec 10, 2008",bmer,I still hate the overall shape of the car. Hopefully they will change it radically with the next generation Focus.,#4,,September 24,NA,NA,NA,"6,974","2,960",,,NA
Ford / Lincoln,***Ford Capri Exhibition @ Technik-Museum Speyer***,post-274643,"Feb 6, 2008",cawimmer430,,#1,,"Jul 31, 1982
										
											(Age: 40)","Munich, Germany",NA,"Photographer, Graphic Designer","14,816","13,252","'07 BMW 118i,1936 Mercedes-Benz 500K Spezial Roadster","Mercedes-Benz, Photoshop (Digital Imaging), Reading, Dogs, Athletics, Sleeping, Drawing &amp; Eating!!!,CHRISTIAN WIMMER,WIMMERFOTOGRAFIE.de | www.facebook.com/wimmerfotografie | IG: wimmerfotografie",NA
Ford / Lincoln,"Ford Releases Focus ST Black ""Knight Rider"" Edition?",post-223109,"Aug 28, 2007",Bruce,"The orange highlights aren't needed, but they don't look all that bad.",#5,,September 9,NA,NA,NA,"11,609","5,020","Pagani Zonda F, Porsche Carrera GT, Honda NSX, Lotus Esprit V8 Turbo, Nissan GT-R, Porsche 993 Turbo",--- Find the conspiracy in everything,NA
Ford / Lincoln,"Ford Releases Focus ST Black ""Knight Rider"" Edition?",post-223019,"Aug 28, 2007",rev,"I don't really like that orange trim on the car. However, it's still pretty cool.",#2,,,Greece,NA,NA,"1,043",481,,no signature required,NA
Toyota,"Toyota recalls 57,000 Lexus Cars",post-58126,"Apr 19, 2006",St. Merc,,#10,,NA,NA,NA,NA,177,2,,"Advertising has us chasing cars and clothing; working jobs we hate, so we can buy shit WE DO NOT NEED.     -Chuck Palahniuk-",NA
Toyota,"Toyota recalls 57,000 Lexus Cars",post-58122,"Apr 19, 2006",PHYBENZ,I will toast to this one! Good news (since no one got hurt).,#9,,"Dec 28, 1979
										
											(Age: 43)",NA,NA,NA,"2,819","2,680",1963 Mercedes 220Sb,"My website: New, Videos, Pictures on Professional Miami Hurricanes: procanes.com",NA
Toyota,"Toyota recalls 160,000 Prius hybrids due to software glitch",post-4804,"Oct 14, 2005",EnI,Source:,#1,,NA,NA,Male,NA,"14,030","12,867",,,NA
Ford / Lincoln,Ford GT500 commercial!!! Very BOLD!,post-92241,"Sep 10, 2006",siko,I would approve of the commercial if they used a more accurate car than a CGT to blow by...,#7,,,"Montreal, Canada",NA,"Professional engineer, Grad student","6,524","3,445","BMW 335xi M (E90),BMW 135i M (E82),BMW 325i (E46),BMW 325Ci (E46),VW Jetta GLS (Mk.IV),VW Jetta GL (Mk.III),Porsche 911 GT3 RS",Nam et Ipsa scientia potestas est,NA
Ford / Lincoln,"Ford accelerating ""Way Forward"" plan",post-85210,"Aug 9, 2006",Alx,"The North American automotive market has punished automakers whose products are out of step with rapidly changing consumer demands, and Ford Motor's Mark Fields (president, Americas) says his company gets the message. In a speech to industry executives Wednesday at the Center for Automotive Research's 41st annual Management Briefing Seminars, Fields pledged to accelerate Ford's Way Forward plan - increasing the pace of new product introductions and ramping up investment in R&D and flexible manufacturing facilities.,""We'll have more to say on the specifics of what we're accelerating in September. But I can confirm that our plans include more new products, features and technologies throughout our lineup,"" said Fields. ""We have nine new Ford and Lincoln Mercury products going on sale in the next six months alone, and we are rebuilding our business for the future with an emphasis on new products."",More after the jump...On the new product front, Fields highlighted the new Ford Shelby GT (on sale in January), and the Lincoln's new flagship MKS sedan (due in 2008), and nine new Ford and Lincoln Mercury vehicles hitting the market in the next six months, including the Ford Edge and Lincoln MKX crossovers in November.,Technology tidbits from Field's speech include the capless fuel filler (shown at right) that debuted on the Ford GT and will become standard across the Ford lineup, starting with the Lincoln MKS. Ford will also accelerate introduction of iPod connectivity, DVD-based nav systems, and satellite radio - all in response to market demand. Fields also pledged ""more standard safety equipment on more vehicles."",On the investment front, Fields said the company is looking at a potential $1 billion investment in partnership with the state of Michigan, to expand flexible manufacturing at several Ford facilities in the state, and for R&D, particularly in the areas of advanced powertrain technologies and hybrid vehicles.,Expect to hear more on the new product theme in the next installment of "","" this Sunday, when the company will reveal full details of the new Ford Shelby GT.,[Source: Ford]",#1,,"Apr 8, 1977
										
											(Age: 46)","Poconos, PA",NA,-Making Power Moves-,"6,306","1,064","2005 Aston Martin DB9,2003 MB CL55 AMG Kleemann STG1,2001 Audi S4 6-Spd MTM,2001 Chevy Corvette Triple Black,2001 Suzuki,Already Got It!!! LOL :)","I ♣ SEALS,Love All Things Exotic, From Cars To Women!,---> The Road to Hell is Paved With Good Intentions....",NA
